date,state,S,I,R,hospitalization,icu,ventilator
03/15/2020,Alabama,4887860.0,11.0,0.0,0.32999999999999996,0.049499999999999995,0.044
03/16/2020,Alabama,4887853.946661693,13.285273673191602,3.7680646329568153,0.39855821019574805,0.059783731529362207,0.05314109469276641
03/17/2020,Alabama,4887846.635737314,16.045308632694145,8.318954052088994,0.4813592589808243,0.07220388884712364,0.06418123453077658
03/18/2020,Alabama,4887837.8059841925,19.378725816788695,13.815289989552006,0.5813617745036608,0.08720426617554912,0.07751490326715478
03/19/2020,Alabama,4887827.141868639,23.404640093992704,20.453491266674284,0.702139202819781,0.10532088042296715,0.09361856037597081
03/20/2020,Alabama,4887814.26232686,28.266902223771933,28.47077091538729,0.848007066713158,0.12720106000697368,0.11306760889508773
03/21/2020,Alabama,4887798.707099478,34.13925633523978,38.15364418519582,1.0241776900571933,0.153626653508579,0.13655702534095912
03/22/2020,Alabama,4887779.920482971,41.231471903591626,49.84804512429789,1.2369441571077486,0.1855416235661623,0.1649258876143665
03/23/2020,Alabama,4887757.231183275,49.796946085285796,63.9718706379581,1.493908382558574,0.22408625738378607,0.19918778434114318
03/24/2020,Alabama,4887729.828514755,60.14168433062577,81.02980091259387,1.804250529918773,0.27063757948781597,0.24056673732250308
03/25/2020,Alabama,4887696.733524009,72.63519467607674,101.63128131320165,2.179055840282302,0.3268583760423453,0.29054077870430695
03/26/2020,Alabama,4887656.7639384605,87.7237100214942,126.51235151648356,2.631711300644826,0.39475669509672384,0.3508948400859768
03/27/2020,Alabama,4887608.492008085,105.94608860870822,156.5619033045305,3.1783826582612464,0.476757398739187,0.4237843544348329
03/28/2020,Alabama,4887550.193596655,127.95301097851208,192.85339236555947,3.8385903293553625,0.5757885494033044,0.5118120439140483
03/29/2020,Alabama,4887479.786706328,154.53015581998793,236.683137849894,4.6359046745996375,0.6953857011899456,0.6181206232799518
03/30/2020,Alabama,4887394.757270566,186.62616735350073,289.61656207915337,5.598785020605022,0.8398177530907532,0.746504669414003
03/31/2020,Alabama,4887292.069629871,225.3863834696307,353.5439866572645,6.76159150408892,1.014238725613338,0.9015455338785228
04/01/2020,Alabama,4887168.058496268,272.1935204781581,430.74798325280403,8.165805614344743,1.2248708421517114,1.0887740819126326
04/02/2020,Alabama,4887018.298589228,328.71674082234875,523.9846699484111,9.861502224670462,1.4792253337005692,1.314866963289395
04/03/2020,Alabama,4886837.447452484,396.9707779859537,636.581769529439,11.90912333957861,1.7863685009367916,1.5878831119438148
04/04/2020,Alabama,4886619.055915999,479.38717732517244,772.5569066737947,14.381615319755173,2.157242297963276,1.9175487093006898
04/05/2020,Alabama,4886355.339641937,578.9000846735295,936.7602733877015,17.367002540205885,2.6050503810308823,2.315600338694118
04/06/2020,Alabama,4886036.903882224,699.049488947703,1135.0466288256625,20.97148466843109,3.1457227002646633,2.796197955790812
04/07/2020,Alabama,4885652.412034588,844.1053766974654,1374.4825887118814,25.32316130092396,3.7984741951385943,3.3764215067898617
04/08/2020,Alabama,4885188.186772909,1019.2168967476845,1663.596330340697,30.576506902430534,4.58647603536458,4.076867586990738
04/09/2020,Alabama,4884627.730444463,1230.591357393406,2012.6781981411623,36.91774072180218,5.537661108270327,4.922365429573624
04/10/2020,Alabama,4883951.1486748,1485.7088210297868,2434.1425041672132,44.5712646308936,6.68568969463404,5.942835284119147
04/11/2020,Alabama,4883134.458775127,1793.5788206514485,2942.962404218514,53.807364619543456,8.071104692931518,7.174315282605794
04/12/2020,Alabama,4882148.760869052,2165.046914531886,3557.192216412913,64.95140743595658,9.742711115393487,8.660187658127544
04/13/2020,Alabama,4880959.2460917495,2613.159862771566,4298.594045476342,78.39479588314698,11.759219382472047,10.452639451086265
04/14/2020,Alabama,4879524.012234968,3153.599311574915,5193.388453453489,94.60797934724745,14.191196902087118,12.614397246299662
04/15/2020,Alabama,4877792.652904729,3805.1949197391573,6273.152175528316,114.15584759217471,17.123377138826207,15.22077967895663
04/16/2020,Alabama,4875704.581923477,4590.528673012974,7575.889403506106,137.7158601903892,20.65737902855838,18.362114692051897
04/17/2020,Alabama,4873187.050584012,5536.642508819545,9147.30690716558,166.09927526458634,24.91489128968795,22.14657003527818
04/18/2020,Alabama,4870152.811321463,6675.861086364727,11042.327592168594,200.2758325909418,30.041374888641272,26.70344434545891
04/19/2020,Alabama,4866497.384973013,8046.738661791943,13326.876365191956,241.40215985375826,36.21032397806374,32.186954647167774
04/20/2020,Alabama,4862095.876814294,9695.137791961246,16079.98539374162,290.85413375883735,43.628120063825605,38.78055116784498
04/21/2020,Alabama,4856799.302569594,11675.439915220062,19396.25751518201,350.26319745660186,52.539479618490276,46.70175966088025
04/22/2020,Alabama,4850430.413279933,14051.870790702278,23388.715929361115,421.55612372106833,63.233418558160245,56.20748316280911
04/23/2020,Alabama,4842779.002879489,16899.91217983741,28192.08494066924,506.9973653951223,76.04960480926835,67.59964871934964
04/24/2020,Alabama,4833596.729652006,20307.748752302305,33966.52159568718,609.2324625690691,91.38486938536036,81.23099500920922
04/25/2020,Alabama,4822591.55935495,24377.651272441217,40901.789372605155,731.3295381732365,109.69943072598547,97.51060508976487
04/26/2020,Alabama,4809422.02925198,29227.140910629372,49221.82983738719,876.8142273188811,131.52213409783218,116.90856364251749
04/27/2020,Alabama,4793691.650853638,34989.71544927651,59189.63369708177,1049.6914634782952,157.4537195217443,139.95886179710604
04/28/2020,Alabama,4774943.925939922,41814.835933674156,71112.23812639994,1254.4450780102247,188.1667617015337,167.2593437346966
04/29/2020,Alabama,4752658.665518476,49866.76026077914,85345.5742207407,1496.0028078233743,224.40042117350612,199.46704104311658
04/30/2020,Alabama,4726250.8652727045,59321.547711435065,102298.58701585537,1779.646431343052,266.9469647014578,237.28619084574026
05/01/2020,Alabama,4695072.900519288,70361.8396983765,122436.25978233077,2110.855190951295,316.6282786426942,281.447358793506
05/02/2020,Alabama,4658422.303293467,83168.32206719379,146280.3746393348,2495.0496620158137,374.25744930237204,332.67328826877514
05/03/2020,Alabama,4615556.588622894,97907.32961917554,174407.08175792632,2937.219888575266,440.5829832862899,391.62931847670217
05/04/2020,Alabama,4565717.153854708,114713.89907274517,207439.94707254195,3441.416972182355,516.2125458273532,458.8555962909807
05/05/2020,Alabama,4508164.036271862,133670.03209949372,246036.9316286399,4010.1009629848113,601.5151444477217,534.6801283979748
05/06/2020,Alabama,4442222.356471479,154778.70700189393,290869.93652662163,4643.361210056818,696.5041815085226,619.1148280075757
05/07/2020,Alabama,4367339.937166864,177935.26261148034,342595.80022165074,5338.05787834441,800.7086817516615,711.7410504459214
05/08/2020,Alabama,4283153.435852029,202899.22237539652,401818.34177256824,6086.976671261896,913.0465006892842,811.5968895015861
05/09/2020,Alabama,4189557.5211834516,229271.19514468344,469042.2836718591,6878.135854340503,1031.7203781510755,917.0847805787338
05/10/2020,Alabama,4086768.6570914593,256480.7882064254,544621.5547021094,7694.423646192762,1154.1635469289142,1025.9231528257017
05/11/2020,Alabama,3975373.0496042212,283791.6283246395,628706.3220711334,8513.748849739186,1277.0623274608777,1135.1665132985581
05/12/2020,Alabama,3856347.613739649,310328.45859922934,721194.9276611165,9309.85375797688,1396.478063696532,1241.3138343969174
05/13/2020,Alabama,3731045.008231241,335127.99945050257,821697.992318251,10053.839983515076,1508.0759975272615,1340.5119978020102
05/14/2020,Alabama,3601138.8003284973,357210.50079667877,929521.6988748184,10716.315023900363,1607.4472535850543,1428.8420031867151
05/15/2020,Alabama,3468531.713652064,375663.7190282022,1043675.567319728,11269.911570846065,1690.4867356269096,1502.6548761128088
05/16/2020,Alabama,3335237.35473032,389726.92790193635,1162906.7173677383,11691.80783705809,1753.7711755587134,1558.9077116077453
05/17/2020,Alabama,3203251.292394019,398861.2149200659,1285758.4926859092,11965.836447601976,1794.8754671402965,1595.4448596802636
05/18/2020,Alabama,3074429.274232593,402794.46452945145,1410647.26123795,12083.833935883544,1812.5750903825315,1611.1778581178057
05/19/2020,Alabama,2950388.0656703156,401534.5815140897,1535948.3528155894,12046.037445422691,1806.9056168134036,1606.138326056359
05/20/2020,Alabama,2832438.875134566,395351.0285391126,1660081.096326316,11860.530856173378,1779.0796284260066,1581.4041141564503
05/21/2020,Alabama,2721556.474814494,384730.6270199236,1781583.8981655769,11541.918810597706,1731.287821589656,1538.9225080796944
05/22/2020,Alabama,2618380.9434192106,370317.2618308213,1899172.794749963,11109.517854924638,1666.4276782386958,1481.2690473232851
05/23/2020,Alabama,2523244.796676109,352846.0816950686,2011780.1216288174,10585.38245085206,1587.8073676278086,1411.3843267802745
05/24/2020,Alabama,2436216.5329683744,333081.3979433215,2118573.0690882993,9992.441938299644,1498.8662907449466,1332.325591773286
05/25/2020,Alabama,2357151.9581548823,311764.6866487077,2218954.3551964047,9352.940599461232,1402.9410899191846,1247.0587465948308
05/26/2020,Alabama,2285746.30083706,289575.9577025074,2312548.7414604276,8687.278731075221,1303.0918096612832,1158.3038308100295
05/27/2020,Alabama,2221582.3792364737,267108.8984818354,2399179.722281686,8013.266954455061,1201.990043168259,1068.4355939273416
05/28/2020,Alabama,2164171.9141519247,244858.75794562668,2478840.327902444,7345.7627383688005,1101.86441075532,979.4350317825067
05/29/2020,Alabama,2112989.1633571642,223219.81205892365,2551662.024583907,6696.594361767709,1004.4891542651563,892.8792482356946
05/30/2020,Alabama,2067496.786282464,202490.37790017703,2617883.835817354,6074.71133700531,911.2067005507965,809.9615116007081
05/31/2020,Alabama,2027164.8516988321,182882.2580880931,2677823.89021307,5486.467742642793,822.9701613964189,731.5290323523724
06/01/2020,Alabama,1991484.0209587156,164532.667184873,2731854.3118564067,4935.98001554619,740.3970023319284,658.130668739492
06/02/2020,Alabama,1959974.0878505558,147516.94925077117,2780379.962898668,4425.508477523135,663.8262716284702,590.0677970030847
06/03/2020,Alabama,1932188.8686101823,131860.98582022786,2823821.145569585,3955.8295746068356,593.3744361910253,527.4439432809114
06/04/2020,Alabama,1907718.5997519235,117552.37011171012,2862600.0301363613,3526.5711033513035,528.9856655026955,470.2094804468405
06/05/2020,Alabama,1886190.2966163293,104550.4622375315,2897130.2411461337,3136.5138671259447,470.47708006889167,418.20184895012596
06/06/2020,Alabama,1867266.852070298,92794.69381442896,2927809.454115268,2783.8408144328687,417.57612216493027,371.17877525771587
06/07/2020,Alabama,1850645.321619002,82211.35818761075,2955014.320193382,2466.3407456283226,369.9511118442483,328.845432750443
06/08/2020,Alabama,1836054.7522108068,72719.04098394634,2979097.2068052418,2181.5712295183903,327.2356844277585,290.87616393578537
06/09/2020,Alabama,1823253.6887072248,64232.80056748644,3000384.5107252835,1926.9840170245932,289.04760255368893,256.93120226994574
06/10/2020,Alabama,1812027.627089311,56667.31102538161,3019176.061885302,1700.0193307614484,255.00289961421723,226.66924410152646
06/11/2020,Alabama,1802186.484786765,49939.13867698737,3035745.376536242,1498.1741603096211,224.72612404644315,199.75655470794948
06/12/2020,Alabama,1793562.1700048682,43968.32265622016,3050340.507338906,1319.0496796866048,197.85745195299071,175.87329062488064
06/13/2020,Alabama,1786006.2839592055,38679.41115360192,3063185.3048871867,1160.3823346080576,174.05735019120863,154.71764461440767
06/14/2020,Alabama,1779388.0053951286,34002.07477575764,3074480.919829108,1020.0622432727291,153.00933649090936,136.00829910303057
06/15/2020,Alabama,1773592.1416508642,29871.403480281995,3084407.454868848,896.1421044084598,134.42131566126898,119.48561392112798
06/16/2020,Alabama,1768517.363715663,26227.972476873136,3093125.6638074582,786.8391743061941,118.0258761459291,104.91188990749255
06/17/2020,Alabama,1764074.611566485,23017.741402107902,3100778.6470314017,690.532242063237,103.57983630948556,92.0709656084316
06/18/2020,Alabama,1760185.663178471,20191.839959812372,3107493.496861711,605.7551987943712,90.86327981915566,80.7673598392495
06/19/2020,Alabama,1756781.8565445899,17706.28022434134,3113382.8632310634,531.1884067302401,79.67826100953602,70.82512089736535
06/20/2020,Alabama,1753802.9515482234,15521.625553914106,3118546.422897857,465.6487666174232,69.84731499261348,62.086502215656424
06/21/2020,Alabama,1751196.1195733482,13602.639164116927,3123072.2412625295,408.07917492350776,61.211876238526166,54.410556656467705
06/22/2020,Alabama,1748915.048755972,11917.927555079435,3127038.023688943,357.53782665238305,53.63067399785746,47.67171022031774
06/23/2020,Alabama,1746919.1527081814,10439.590245409694,3130512.2570464034,313.18770736229084,46.97815610434362,41.75836098163877
06/24/2020,Alabama,1745172.8721560996,9142.88296225698,3133555.244881638,274.28648886770935,41.1429733301564,36.57153184902792
06/25/2020,Alabama,1743645.0596906205,8005.901581382863,3136220.038727991,240.17704744148588,36.02655711622288,32.02360632553145
06/26/2020,Alabama,1742308.4375616955,7009.286313607493,3138553.276124691,210.27858940822478,31.541788411233718,28.037145254429973
06/27/2020,Alabama,1741139.12097899,6135.949403725777,3140595.9296172783,184.07848211177333,27.611772316765997,24.54379761490311
06/28/2020,Alabama,1740116.1971406913,5370.82631137426,3142383.9765479285,161.1247893412278,24.168718401184165,21.48330524549704
06/29/2020,Alabama,1739221.3631760983,4700.649889434969,3143948.9869344607,141.01949668304906,21.15292450245736,18.802599557739875
06/30/2020,Alabama,1738438.5976462655,4113.745846773899,3145318.6565069547,123.41237540321696,18.511856310482543,16.454983387095595
