date,state,S,I,R,hospitalization,icu,ventilator
03/17/2020,Connecticut,1201400.0,13.0,0.0,0.39,0.058499999999999996,0.052000000000000005
03/18/2020,Connecticut,1201392.8177331458,15.821781634789916,4.360485219544863,0.4746534490436975,0.07119801735655462,0.06328712653915966
03/19/2020,Connecticut,1201384.0765498863,19.255997917684144,9.667452196090684,0.5776799375305243,0.08665199062957864,0.07702399167073658
03/20/2020,Connecticut,1201373.4381547146,23.435534428098403,16.126310857592983,0.7030660328429521,0.1054599049264428,0.09374213771239362
03/21/2020,Connecticut,1201360.4908360029,28.522107120036885,23.98705687742996,0.8556632136011065,0.12834948204016597,0.11408842848014754
03/22/2020,Connecticut,1201344.7335825574,34.7124957906872,33.55392165219367,1.0413748737206159,0.1562062310580924,0.1388499831627488
03/23/2020,Connecticut,1201325.5567246692,42.24613965782516,45.19713567323333,1.2673841897347549,0.1901076284602132,0.16898455863130066
03/24/2020,Connecticut,1201302.2185077094,51.414326049095514,59.367166241939515,1.5424297814728654,0.2313644672209298,0.20565730419638206
03/25/2020,Connecticut,1201273.8162218104,62.57151014915569,76.61226804093482,1.8771453044746707,0.2815717956712006,0.2502860405966228
03/26/2020,Connecticut,1201239.2515683693,76.14888836811107,97.599543262922,2.2844666510433322,0.3426699976564998,0.3045955534724443
03/27/2020,Connecticut,1201197.1884310804,92.67093931258255,123.14062960719194,2.7801281793774764,0.4170192269066214,0.3706837572503302
03/28/2020,Connecticut,1201146.0013267323,112.77560221670912,154.22307105114004,3.3832680665012735,0.507490209975191,0.4511024088668365
03/29/2020,Connecticut,1201083.713018739,137.23867728816657,192.04830397299045,4.117160318644997,0.6175740477967495,0.5489547091526663
03/30/2020,Connecticut,1201007.9186953413,167.0034513374745,238.0778533211679,5.010103540124235,0.7515155310186352,0.6680138053498981
03/31/2020,Connecticut,1200915.6939114633,203.21662364109238,294.0894648955721,6.096498709232772,0.9144748063849156,0.8128664945643695
04/01/2020,Connecticut,1200803.4829569596,247.27180540775055,362.245237632421,7.418154162232516,1.1127231243348774,0.9890872216310023
04/02/2020,Connecticut,1200666.9635351216,300.8621542064645,445.17431067175625,9.025864626193934,1.35387969392909,1.203448616825858
04/03/2020,Connecticut,1200500.8828819192,366.0439741268667,546.07314395378,10.981319223806,1.6471978835709,1.464175896507467
04/04/2020,Connecticut,1200298.859524941,445.3134392975628,668.8270357614225,13.359403178926884,2.0039104768390326,1.7812537571902514
04/05/2020,Connecticut,1200053.1437981934,541.6989662581994,818.1572355483488,16.25096898774598,2.4376453481618974,2.166795865032798
04/06/2020,Connecticut,1199754.3290047632,658.8721571695123,999.7988380672629,19.76616471508537,2.964924707262805,2.6354886286780492
04/07/2020,Connecticut,1199391.0037687118,801.280642754456,1220.7155885336645,24.03841928263368,3.605762892395052,3.2051225710178244
04/08/2020,Connecticut,1198949.334649955,974.3065499716179,1489.3588000733441,29.229196499148536,4.38437947487228,3.8972261998864717
04/09/2020,Connecticut,1198412.5665819687,1184.4546520182842,1815.9787660131424,35.53363956054852,5.330045934082278,4.737818608073137
04/10/2020,Connecticut,1197760.4271566288,1439.574471743247,2212.9983716279144,43.18723415229741,6.478085122844611,5.758297886972988
04/11/2020,Connecticut,1196968.4197679618,1749.120467753371,2695.4597642850113,52.47361403260113,7.871042104890169,6.996481871013485
04/12/2020,Connecticut,1196006.9895910432,2124.453990051654,3281.5564189053985,63.733619701549614,9.560042955232442,8.497815960206616
04/13/2020,Connecticut,1194840.5477364499,2579.189265550658,3993.262997999613,77.37567796651975,11.60635169497796,10.316757062202633
04/14/2020,Connecticut,1193426.3403783834,3129.5831977478624,4857.076423868865,93.88749593243587,14.08312438986538,12.51833279099145
04/15/2020,Connecticut,1191713.1466630532,3794.967121879853,5904.8862150670775,113.84901365639558,17.07735204845934,15.179868487519412
04/16/2020,Connecticut,1189639.821291051,4598.205438764378,7174.973270184737,137.94616316293136,20.691924474439702,18.392821755057515
04/17/2020,Connecticut,1187133.6811858744,5566.164564175386,8713.154249950338,166.98493692526156,25.047740538789235,22.264658256701544
04/18/2020,Connecticut,1184108.7772983692,6730.157312128611,10574.065389502159,201.90471936385833,30.285707904578747,26.920629248514444
04/19/2020,Connecticut,1180464.119210059,8126.308768785189,12822.572021155764,243.78926306355567,36.56838945953335,32.50523507514076
04/20/2020,Connecticut,1176081.9810606672,9795.755772552026,15535.263166780538,293.87267317656074,44.08090097648411,39.1830230902081
04/21/2020,Connecticut,1170826.4594732833,11784.570602283824,18801.969924432688,353.5371180685147,53.030567710277204,47.1382824091353
04/22/2020,Connecticut,1164542.5501278918,14143.24930908518,22727.200563022856,424.2974792725554,63.64462189088331,56.572997236340726
04/23/2020,Connecticut,1157056.0972862707,16925.564645210467,27431.338068518748,507.76693935631397,76.16504090344709,67.70225858084187
04/24/2020,Connecticut,1148175.1933536425,20186.49292821206,33051.31371814554,605.5947878463618,90.83921817695426,80.74597171284825
04/25/2020,Connecticut,1137693.3815067702,23979.05062004763,39740.56787318234,719.3715186014289,107.90572779021433,95.91620248019052
04/26/2020,Connecticut,1125395.5839326924,28349.653411011313,47667.76265629624,850.4896023303394,127.5734403495509,113.39861364404526
04/27/2020,Connecticut,1111067.1897410064,33331.928775124805,57013.881483868725,999.9578632537441,149.99367948806162,133.32771510049923
04/28/2020,Connecticut,1094506.8008374253,38938.97815042947,67967.22101214518,1168.1693445128842,175.22540167693262,155.7559126017179
04/29/2020,Connecticut,1075542.7376167672,45154.447579537875,80715.81480369507,1354.6334273861362,203.19501410792043,180.6177903181515
04/30/2020,Connecticut,1054052.6512785603,51923.2631899129,95437.08553152689,1557.697895697387,233.654684354608,207.6930527596516
05/01/2020,Connecticut,1029984.7851096734,59143.41837860957,112284.79651171717,1774.302551358287,266.14538270374305,236.57367351443827
05/02/2020,Connecticut,1003378.387938241,66660.71277977146,131373.89928198772,1999.8213833931438,299.97320750897154,266.64285111908583
05/03/2020,Connecticut,974379.8814303259,74268.60370401661,152764.5148656576,2228.0581111204983,334.2087166680747,297.07441481606645
05/04/2020,Connecticut,943251.0936872199,81715.01977028618,176446.88654249406,2451.450593108585,367.7175889662878,326.8600790811447
05/05/2020,Connecticut,910366.3758655753,88717.03881411359,202329.58532031145,2661.5111644234075,399.2266746635111,354.8681552564544
05/06/2020,Connecticut,876196.9598146265,94982.73366820422,230233.3065171695,2849.4820100461266,427.422301506919,379.9309346728169
05/07/2020,Connecticut,841283.3150064837,100237.60341520135,259892.08157831515,3007.1281024560403,451.069215368406,400.9504136608054
05/08/2020,Connecticut,806198.8224970893,104251.4783278558,290962.6991750552,3127.544349835674,469.1316524753511,417.0059133114232
05/09/2020,Connecticut,771510.0284029794,106861.20307673147,323041.76852028945,3205.836092301944,480.8754138452916,427.4448123069259
05/10/2020,Connecticut,737739.3960797252,107985.13765612064,355688.4662641544,3239.554129683619,485.9331194525428,431.94055062448257
05/11/2020,Connecticut,705335.5870830247,107627.0976539613,388450.31526301434,3228.812929618839,484.32193944282585,430.5083906158452
05/12/2020,Connecticut,674654.6720250384,105870.1459483027,420888.18202665914,3176.1043784490807,476.4156567673621,423.4805837932108
05/13/2020,Connecticut,645952.3823378786,102862.16025566494,452598.4574064567,3085.8648076699483,462.87972115049223,411.4486410226598
05/14/2020,Connecticut,619386.7359235714,98796.44338413027,483229.8206922986,2963.893301523908,444.58399522858616,395.1857735365211
05/15/2020,Connecticut,595028.0457225365,93891.05882674252,512493.8954507212,2816.7317648022754,422.5097647203413,375.5642353069701
05/16/2020,Connecticut,572873.337864361,88369.83281589237,540169.8293197469,2651.094984476771,397.6642476715156,353.47933126356946
05/17/2020,Connecticut,552862.4946946506,82446.93016199359,566103.575143356,2473.4079048598073,371.0111857289711,329.78772064797437
05/18/2020,Connecticut,534893.9851652947,76315.81317526851,590203.2016594372,2289.474395258055,343.4211592887083,305.26325270107407
05/19/2020,Connecticut,518838.9103873314,70142.61601001812,612431.4736026507,2104.2784803005434,315.6417720450815,280.57046404007247
05/20/2020,Connecticut,504552.6045211139,64063.35493961012,632797.0405392763,1921.9006481883036,288.28509722824555,256.2534197584405
05/21/2020,Connecticut,491883.72509658633,58184.025274137704,651345.2496292763,1745.520758224131,261.82811373361966,232.7361010965508
05/22/2020,Connecticut,480680.9939867112,52582.69498584524,668149.311027444,1577.4808495753573,236.62212743630357,210.33077994338097
05/23/2020,Connecticut,470797.90833418164,47312.78557577833,683302.3060900405,1419.3835672733499,212.90753509100247,189.25114230311334
05/24/2020,Connecticut,462095.83511068113,42406.91195268302,696910.2529366362,1272.2073585804906,190.83110378707357,169.62764781073207
05/25/2020,Connecticut,454445.8004731139,37880.77600052333,709086.423526363,1136.4232800157,170.46349200235497,151.5231040020933
05/26/2020,Connecticut,447729.4030966738,33736.84487097819,719946.7520323483,1012.1053461293455,151.81580191940182,134.94737948391275
05/27/2020,Connecticut,441839.0418919941,29967.623478915382,729606.3346290909,899.0287043674614,134.85430565511922,119.87049391566153
05/28/2020,Connecticut,436677.7067066951,26558.452223106844,738176.8410701983,796.7535666932052,119.51303500398079,106.23380889242738
05/29/2020,Connecticut,432158.4830485401,23489.815317445118,745764.701634015,704.6944595233535,105.70416892850302,93.95926126978047
05/30/2020,Connecticut,428203.8878243554,20739.187806845955,752469.9243687988,622.1756342053786,93.32634513080679,82.95675122738382
05/31/2020,Connecticut,424745.11912825267,18282.471227094058,758385.4096446534,548.4741368128217,82.27112052192325,73.12988490837624
06/01/2020,Connecticut,421721.2746282486,16095.07809474002,763596.6472770115,482.8523428422006,72.42785142633008,64.38031237896008
06/02/2020,Connecticut,419078.5931356009,14152.720157116706,768181.6867072826,424.5816047135012,63.687240707025175,56.61088062846682
06/03/2020,Connecticut,416769.7030408284,12431.968779904855,772211.3281792668,372.95906339714566,55.943859509571844,49.72787511961942
06/04/2020,Connecticut,414752.9408795338,10910.623287216982,775749.4358332492,327.31869861650944,49.09780479247642,43.64249314886793
06/05/2020,Connecticut,412991.71138880885,9567.93743096575,778853.3511802254,287.0381229289725,43.055718439345874,38.271749723863
06/06/2020,Connecticut,411453.90547752846,8384.735970171814,781574.3585522997,251.54207910515441,37.73131186577316,33.538943880687256
06/07/2020,Connecticut,410111.37922310474,7343.456512015539,783958.1642648797,220.30369536046618,33.045554304069924,29.37382604806216
06/08/2020,Connecticut,408939.4832004235,6428.132571655243,786045.3842279213,192.8439771496573,28.92659657244859,25.71253028662097
06/09/2020,Connecticut,407916.6400321111,5624.333667099936,787872.026300789,168.73001001299806,25.30950150194971,22.497334668399745
06/10/2020,Connecticut,407023.9732954266,4919.086533564854,789469.9401710086,147.57259600694562,22.13588940104184,19.67634613425942
06/11/2020,Connecticut,406244.9767621284,4300.778134141383,790867.2451037302,129.02334402424148,19.35350160363622,17.20311253656553
06/12/2020,Connecticut,405565.2214847328,3759.049138226604,792088.7293770405,112.77147414679811,16.91572112201972,15.036196552906416
06/13/2020,Connecticut,404972.0985779264,3284.6881360928987,793156.2132859807,98.54064408278695,14.781096612418043,13.138752544371595
06/14/2020,Connecticut,404454.5925499345,2869.5248629334315,794088.882587132,86.08574588800295,12.91286188320044,11.478099451733726
06/15/2020,Connecticut,404003.0827310264,2506.3312050050704,794903.5860639685,75.1899361501521,11.278490422522816,10.025324820020282
06/16/2020,Connecticut,403609.1671767584,2188.722193455958,795615.1106297856,65.66166580367873,9.84924987055181,8.754888773823833
06/17/2020,Connecticut,403265.5100874055,1911.0684955839051,796236.4214170106,57.33205486751715,8.599808230127572,7.644273982335621
06/18/2020,Connecticut,402965.7074481971,1668.413907862275,796778.8786439406,50.05241723586825,7.507862585380237,6.6736556314491
06/19/2020,Connecticut,402704.1693320075,1456.4001938000945,797252.4304741923,43.69200581400283,6.553800872100425,5.825600775200378
06/20/2020,Connecticut,402476.0164368187,1271.1987100191573,797665.784853162,38.135961300574714,5.720394195086207,5.084794840076629
06/21/2020,Connecticut,402276.9908448535,1109.4497058409004,798026.5594493054,33.28349117522701,4.992523676284051,4.437798823363601
06/22/2020,Connecticut,402103.37673140934,968.2069221686088,798341.4163464219,29.04620766505826,4.356931149758739,3.8728276886744353
06/23/2020,Connecticut,401951.93173982995,844.8885577550928,798616.1797024148,25.346656732652786,3.8019985098979174,3.3795542310203714
06/24/2020,Connecticut,401819.82629649376,737.2334861576769,798855.9402173484,22.117004584730307,3.317550687709546,2.9489339446307077
06/25/2020,Connecticut,401704.5920372629,643.2626523793413,799065.1453103576,19.297879571380236,2.8946819357070352,2.5730506095173653
06/26/2020,Connecticut,401604.0751039107,561.2445306056474,799247.6803654835,16.83733591816942,2.525600387725413,2.2449781224225895
06/27/2020,Connecticut,401516.39673503296,489.6648862548369,799406.938378712,14.689946587645107,2.203491988146766,1.9586595450193478
06/28/2020,Connecticut,401439.91747752205,427.1997012964061,799545.8828211813,12.815991038892182,1.9223986558338273,1.7087988051856244
06/29/2020,Connecticut,401373.2074294116,372.69197373140287,799667.1005968568,11.180759211942085,1.6771138817913127,1.4907678949256116
06/30/2020,Connecticut,401315.018927706,325.13061680089277,799772.850455493,9.753918504026784,1.4630877756040173,1.3005224672035711
07/01/2020,Connecticut,401264.26361688075,283.6323877757702,799865.1039953433,8.508971633273106,1.2763457449909659,1.1345295511030808
07/02/2020,Connecticut,401219.9922325719,247.42596387187518,799945.5818035562,7.422778916156255,1.1134168374234383,0.9897038554875007
07/03/2020,Connecticut,401181.3764940521,215.83764466405108,800015.7858612838,6.475129339921533,0.9712694009882298,0.8633505786562043
07/04/2020,Connecticut,401147.6940255567,188.27930301590266,800077.0266714273,5.648379090477079,0.8472568635715619,0.7531172120636106
07/05/2020,Connecticut,401118.3146942443,164.23750256515385,800130.4478031904,4.927125076954615,0.7390687615431922,0.6569500102606154
07/06/2020,Connecticut,401092.6887471916,143.26399245056984,800177.0472603576,4.297919773517095,0.6446879660275643,0.5730559698022794
07/07/2020,Connecticut,401070.33676309464,124.96761769086366,800217.6956192143,3.74902853072591,0.5623542796088864,0.49987047076345464
07/08/2020,Connecticut,401050.8404721842,109.00694108751688,800253.1525867281,3.270208232625506,0.49053123489382594,0.4360277643500675
07/09/2020,Connecticut,401033.83503999177,95.08400396873347,800284.0809560393,2.852520119062004,0.4278780178593006,0.3803360158749339
07/10/2020,Connecticut,401019.00229016447,82.93884496570826,800311.0588648695,2.4881653489712474,0.3732248023456871,0.33175537986283304
07/11/2020,Connecticut,401006.0646139589,72.34457117983091,800334.5908148611,2.1703371353949272,0.32555057030923906,0.28937828471932364
07/12/2020,Connecticut,400994.7799115407,63.103247811906044,800355.1168406472,1.8930974343571814,0.2839646151535772,0.2524129912476242
07/13/2020,Connecticut,400984.9370120176,55.042180625476135,800373.0208073567,1.651265418764284,0.24768981281464258,0.22016872250190456
