'Travis AFB','California','9qc39nkenur7',-1
'Isabela N00207-AB','Puerto Rico','de231chphz1j',-1
'The Barry M Goldwater Air Force Range','Arizona','9mz9eq51r7dt',-1
'Cape Canaveral AFS','Florida','djndn9ugf1rx',-1
'Saylor Creek Air Force Range','Idaho','9rtg4k9hc8dx',-1
'Moody AFB','Georgia','djsb5j6rn7sj',-1
'Peterson AFB','Colorado','9wv7xn13ds9f',-1
'Barksdale AFB','Louisiana','9vv2yh6xg73p',-1
'Wright-Patterson AFB','Ohio','dph4x2s0uxky',-1
'Gila Bend Air Force Auxiliary Field','Arizona','9mzg4g3z4cjm',-1
'Whiteman AFB','Missouri','9yvkr48g2fcs',-1
'Kalakaket Creek Radio Relay Site','Alaska','be2qrqtc6rd7',-1
'McConnell AFB','Kansas','9ydy4c3nx6kq',-1
'Fort Eustis','Virginia','dq9e1ptxjh74',-1
'Tonopah Auxiliary Airfield Annex','Nevada','9qszn9mg5584',-1
'Eielson AFB','Alaska','berrvt9cyumu',-1
'Holloman AFB','New Mexico','9tue2beu261b',-1
'Vance AFB','Oklahoma','9y6qezyfmkzm',-1
'March AFB','California','9qh8g16wssgh',-1
'Tinker Aerospace Complex','Oklahoma','9y69reme1sq8',-1
'Davis Communications Annex Site   1','California','9qc6zpf0559t',-1
'Luke Air Force Auxiliary Field  1','Arizona','9mzzz3g9v34u',-1
'Tyndall AFB','Florida','dj74vm3pv80n',-1
'McGuire','New Jersey','dr4gwykq0wk9',-1
'Seymour Johnson AFB','North Carolina','dq291fvktccv',-1
'Melrose Air Force Range','New Mexico','9wn5n3w4cunt',-1
'Bellows AFS','Hawaii','87zce0fyuheq',-1
'Pillar Point AFS','California','9q8vk6xb4c6r',-1
'George AFB','California','9qhsc053mp3z',-1
'Luke AFB','Arizona','9tbnfch55b27',-1
'Goodfellow AFB','Texas','9v8dg4p8ns5k',-1
'JBSA-Medina Annex','Texas','9v1z4f6m6sfe',-1
'Eglin Afb Site 2 (Santa Rosa Island)','Florida','dj6kfj5ued5s',-1
'Elmendorf AFB','Alaska','bdvkwcyf6q6p',-1
'Cannon AFB Site  2','New Mexico','9wneb8n8j65k',-1
'Schriever AFB','Colorado','9wvstxv8kxgc',-1
'Verona Test Annex','New York','drdjrqdwvmr4',-1
'Patrick AFB','Florida','djn8tez41r36',-1
'JBSA-Port Annex','Texas','9v1zjhg6xuf7',-1
'Los Angeles Air Force Annex No.4','California','9mgzu47rjg8p',-1
'Columbus Auxiliary Airfield','Mississippi','djc52kd8kqkn',-1
