Geo,Name,State
"37.1322673005, -76.5889077607",Fort Eustis,Virginia
"37.8003693001, -116.776642592",Tonopah Auxiliary Airfield Annex,Nevada
"64.6740910917, -147.060287368",Eielson AFB,Alaska
"32.9185260782, -106.133753072",Holloman AFB,New Mexico
"36.3418127439, -97.911637541",Vance AFB,Oklahoma
"33.889844345, -117.286408528",March AFB,California
"35.3943672204, -97.3971588172",Tinker Aerospace Complex,Oklahoma
"38.4947400815, -121.681692884",Davis Communications Annex Site   1,California
"33.7159742765, -112.527923384",Luke Air Force Auxiliary Field  1,Arizona
"30.0448190215, -85.5489275904",Tyndall AFB,Florida
"40.0256304054, -74.5803176353",McGuire,New Jersey
"35.3479202145, -77.9625117006",Seymour Johnson AFB,North Carolina
"34.2860779351, -103.779518148",Melrose Air Force Range,New Mexico
"21.3627256389, -157.715773796",Bellows AFS,Hawaii
"37.4990924785, -122.497780579",Pillar Point AFS,California
"34.5852155946, -117.373249538",George AFB,California
"33.5362834546, -112.373495698",Luke AFB,Arizona
"31.4319069863, -100.404456063",Goodfellow AFB,Texas
"29.3687557016, -98.6650122626",JBSA-Medina Annex,Texas
"30.394460792, -86.7427418884",Eglin Afb Site 2 (Santa Rosa Island),Florida
"61.2697996076, -149.811187588",Elmendorf AFB,Alaska
"34.4091911122, -103.328245963",Cannon AFB Site  2,New Mexico
"38.8024223353, -104.516174493",Schriever AFB,Colorado
"43.1472443986, -75.6152283942",Verona Test Annex,New York
"28.2338726202, -80.608007316",Patrick AFB,Florida
"29.3820164194, -98.5645369806",JBSA-Port Annex,Texas
"33.7196359868, -118.296071256",Los Angeles Air Force Annex No.4,California
"32.9398358554, -88.5791426259",Columbus Auxiliary Airfield,Mississippi
"52.9705875149, -168.847986364",Nikolski Radio Relay Site,Alaska
"33.9189254417, -118.381101391",Los Angeles AFB,California
"41.7536850729, -70.5391093266",Cape Cod AS,Massachusetts
"33.6413120873, -88.4511187521",Columbus AFB,Mississippi
"33.9845523871, -98.4996936819",Sheppard AFB,Texas
"34.9039998937, -92.1384740939",Little Rock AFB,Arkansas
"32.9127968937, -79.9832675725",Charleston Defense Fuel Support Point,South Carolina
"38.131207691, -117.203385978",Tonopah AFS,Nevada
"29.3427718639, -98.4396992144",Brooks AFB,Texas
"29.1183865271, -100.47229345",Laughlin AFB Aux 1,Texas
"36.2384501464, -115.135825303",Nellis  Annex,Nevada
"36.7373309553, -98.1202331113",Kegelman Air Force Auxiliary Field,Oklahoma
"41.2523680312, -112.246510146",Little Mountain Test Annex,Utah
"32.6454087078, -83.604766896",Robins AFB,Georgia
"64.8282739808, -146.969859025",Chena River Research Site,Alaska
"47.5058577885, -111.182589777",Malmstrom AFB,Montana
