date,state,S,I,R,hospitalization,icu,ventilator,bed-usage,icu-usage,ventilator-usage
04/29/2020,Tennessee,6600211.859007988,56020.14971965481,113777.9912723573,1680.604491589644,252.0906737384466,224.08059887861924,0.09073558425600066,0.16433551091163404,0.11793715730453644
04/30/2020,Tennessee,6570726.709845073,65447.95812948377,133835.33202544446,1963.438743884513,294.5158115826769,261.79183251793506,0.10600576308630348,0.19199205448675158,0.13778517500943951
05/01/2020,Tennessee,6536486.369029241,76282.97279148911,157240.6581792705,2288.4891837446735,343.27337756170095,305.13189116595646,0.12355518754695353,0.22377664769341654,0.16059573219260867
05/02/2020,Tennessee,6496856.516428974,88669.88566688585,184483.5979041394,2660.0965700065753,399.01448550098627,354.6795426675434,0.14361821455601853,0.26011374543740956,0.18667344350923337
05/03/2020,Tennessee,6451165.139199857,102744.41384630789,216100.446953835,3082.3324153892363,462.34986230838547,410.97765538523157,0.16641466447409764,0.3014014747773047,0.21630402915012187
05/04/2020,Tennessee,6398717.671398921,118622.82879956269,252669.49980151549,3558.6848639868804,533.8027295980321,474.4913151982508,0.1921328616772962,0.34798091890354116,0.2497322711569741
05/05/2020,Tennessee,6338818.778797926,136388.71167698022,294802.509525093,4091.6613503094068,613.749202546411,545.5548467079209,0.22090818217845842,0.400097263719955,0.2871341298462742
05/06/2020,Tennessee,6270801.701881988,156076.98207805067,343131.3160399607,4682.30946234152,702.346419351228,624.3079283122026,0.2527971850956441,0.45785294612205213,0.3285831201643172
05/07/2020,Tennessee,6194065.442691754,177655.77085556046,398288.78645268566,5329.673125666814,799.450968850022,710.6230834222418,0.28774825211461036,0.5211544777379544,0.37401214916960096
05/08/2020,Tennessee,6108119.106503967,201007.33515614498,460883.55833988707,6030.22005468435,904.5330082026524,804.02934062458,0.3255706756659297,0.5896564590630068,0.42317333717083155
05/09/2020,Tennessee,6012631.460815075,225909.96021221564,531468.5789727083,6777.298806366469,1016.5948209549703,903.6398408488626,0.3659053453388656,0.6627084882366169,0.4755999162362435
05/10/2020,Tennessee,5907482.278406706,252023.5502493595,610504.1713439346,7560.706507480785,1134.1059761221177,1008.0942009974381,0.40820140953896905,0.7393128918657873,0.5305758952618095
05/11/2020,Tennessee,5792810.453132924,278882.15300510096,698317.3938619746,8366.46459015303,1254.9696885229541,1115.528612020404,0.45170416748477643,0.8181027956472974,0.5871203221160021
05/12/2020,Tennessee,5669052.676767464,305896.7736319298,795060.5496006052,9176.903208957894,1376.535481343684,1223.5870945277193,0.495459626873874,0.8973503789724147,0.6439932076461681
05/13/2020,Tennessee,5536966.041537666,332371.25974836067,900672.698713972,9971.13779245082,1495.670668867623,1329.4850389934427,0.5383402328285725,0.9750134738380853,0.6997289678912856
05/14/2020,Tennessee,5397628.529947914,357532.6518206762,1014848.8182314085,10725.979554620286,1608.896933193043,1430.130607282705,0.5790940262725562,1.0488245979094153,0.7527003196224763
05/15/2020,Tennessee,5252413.49883509,380575.15768088616,1137021.3434840234,11417.254730426585,1712.5882095639877,1522.3006307235446,0.6164158692596148,1.1164199540834339,0.8012108582755498
05/16/2020,Tennessee,5102937.959096312,400714.00002917094,1266358.0408745164,12021.420000875129,1803.2130001312692,1602.8560001166838,0.6490346615308892,1.1754973925236436,0.8436084211140441
05/17/2020,Tennessee,4950987.984059295,417243.5144006707,1401778.501540033,12517.30543202012,1877.5958148030181,1668.974057602683,0.6758074415300789,1.2239868414622022,0.8784073987382541
05/18/2020,Tennessee,4798428.405964725,429591.9804240393,1541989.6136112332,12887.759412721178,1933.1639119081767,1718.3679216961573,0.6958081963460305,1.260211155090076,0.904404169313767
05/19/2020,Tennessee,4647106.928938386,437365.51265654986,1685537.5584050608,13120.965379696496,1968.1448069544742,1749.4620506261995,0.7083989515007286,1.2830148676365543,0.9207695003295787
05/20/2020,Tennessee,4498763.337262636,440375.1585610703,1830871.504176291,13211.254756832108,1981.688213524816,1761.5006342442812,0.7132736614205868,1.2918436854790196,0.9271055969706743
05/21/2020,Tennessee,4354952.808966621,438643.6270248307,1976413.5640085456,13159.308810744922,1973.8963216117381,1754.5745080993229,0.7104691075879992,1.2867642253010028,0.9234602674206962
05/22/2020,Tennessee,4216990.134248326,432393.1917739693,2120626.673977702,12971.795753219078,1945.7693629828616,1729.5727670958772,0.700345305756348,1.268428528672009,0.9103014563662511
05/23/2020,Tennessee,4085918.2261495283,422015.4772168842,2262076.2966335844,12660.464316506526,1899.0696474759789,1688.0619088675369,0.6835365682165278,1.237985428602333,0.8884536362460721
05/24/2020,Tennessee,3962496.9818478213,408032.8452271072,2399480.172925068,12240.985356813215,1836.147803521982,1632.1313809084288,0.6608889621430307,1.19696727739373,0.8590165162675941
05/25/2020,Tennessee,3847215.6470425026,391050.1473499769,2531744.205607517,11731.504420499306,1759.725663074896,1564.2005893999076,0.6333821628603448,1.1471484113917183,0.8232634681052146
05/26/2020,Tennessee,3740316.4728083014,371711.7661594892,2657981.7610322055,11151.352984784677,1672.7029477177014,1486.847064637957,0.6020598739220752,1.0904191314978497,0.7825510866515563
05/27/2020,Tennessee,3641829.5567075503,350660.16022453614,2777520.28306791,10519.804806736083,1577.9707210104125,1402.6406408981445,0.5679626825794236,1.0286640945309078,0.7382319162621813
05/28/2020,Tennessee,3551610.9225364947,328504.08467150485,2889894.9927919977,9855.122540145145,1478.2683810217718,1314.0163386860195,0.5320765867695252,0.963669088019408,0.6915875466768524
05/29/2020,Tennessee,3469381.4700285173,305795.01883161155,2994833.5111398683,9173.850564948347,1376.077584742252,1223.1800753264463,0.4952948150819753,0.8970518805360183,0.6437789870139191
05/30/2020,Tennessee,3394763.1246063015,283012.56079261424,3092234.3146010814,8490.376823778426,1273.5565235667639,1132.050243170457,0.4583941703800036,0.8302193765102763,0.5958159174581352
05/31/2020,Tennessee,3327310.6441907166,260557.6617077129,3182141.6941015683,7816.729851231386,1172.509477684708,1042.2306468308516,0.42202407144106396,0.7643477690252333,0.5485424457004482
06/01/2020,Tennessee,3266538.732288222,238751.94254152558,3264719.32517025,7162.558276245767,1074.383741436865,955.0077701661023,0.3867054462933683,0.7003805354868742,0.5026356685084749
06/02/2020,Tennessee,3211943.3664896917,217841.80887830062,3340224.824632006,6535.2542663490185,980.2881399523527,871.3672355132026,0.35283739695222,0.6390405084435155,0.45861433448063293
